year,id_,wrkstat,marital,age,educ,degree,sex,hompop,tvhours,coninc,ballot
2018,1,"With a job, but not at work because of temporary illness, vacation, strike",Never married,43,14,Associate/junior college,MALE,5,3,-100.0,Ballot a
2018,2,Retired,Separated,74,10,High school,FEMALE,2,.i:  Inapplicable,22782.5,Ballot c
2018,3,Working full time,Married,42,16,Bachelor's,MALE,4,1,112160.0,Ballot b
2018,4,Working full time,Married,63,16,Bachelor's,FEMALE,2,1,158201.84123,Ballot b
2018,5,Retired,Divorced,71,18,Graduate,MALE,2,.i:  Inapplicable,158201.84123,Ballot c
2018,6,Retired,Widowed,67,16,Bachelor's,FEMALE,2,10,-100.0,Ballot a
2018,7,Working full time,Divorced,59,13,High school,FEMALE,2,.i:  Inapplicable,13143.75,Ballot c
2018,8,Working full time,Never married,43,12,High school,MALE,1,.i:  Inapplicable,38555.0,Ballot c
2018,9,Working full time,Widowed,62,8,Less than high school,FEMALE,1,4,3855.5,Ballot b
2018,10,Working full time,Married,55,12,High school,MALE,2,2,70100.0,Ballot b
2018,11,Working full time,Divorced,59,19,Graduate,MALE,2,3,112160.0,Ballot a
2018,12,Working part time,Separated,34,14,High school,FEMALE,4,3,14896.25,Ballot b
2018,13,Retired,Divorced,61,13,High school,FEMALE,1,8,16648.75,Ballot a
2018,14,Working full time,Married,44,16,Bachelor's,MALE,3,.i:  Inapplicable,84120.0,Ballot c
2018,15,Keeping house,Never married,41,12,High school,FEMALE,3,8,1402.0,Ballot b
2018,16,Working part time,Widowed,75,12,High school,FEMALE,2,5,47317.5,Ballot a
2018,17,"Unemployed, laid off, looking for work",Married,55,16,Bachelor's,FEMALE,2,3,70100.0,Ballot b
2018,18,Keeping house,Married,30,16,Bachelor's,FEMALE,4,1,-100.0,Ballot a
2018,19,Working full time,Divorced,40,20,Graduate,FEMALE,3,.i:  Inapplicable,57832.5,Ballot c
2018,20,Working full time,Never married,30,18,Graduate,MALE,4,0 hours,-100.0,Ballot b
2018,21,Working full time,Married,34,15,High school,FEMALE,3,1,84120.0,Ballot a
2018,22,In school,Never married,29,14,Associate/junior college,FEMALE,3,.i:  Inapplicable,-100.0,Ballot c
2018,23,Working full time,Married,40,14,Associate/junior college,FEMALE,3,5,70100.0,Ballot b
2018,24,Working full time,Never married,37,12,High school,MALE,2,1,47317.5,Ballot a
2018,25,Working part time,Married,56,16,Bachelor's,FEMALE,2,2,57832.5,Ballot a
2018,26,Retired,Widowed,82,8,Less than high school,MALE,1,.i:  Inapplicable,22782.5,Ballot c
2018,27,Working full time,Divorced,68,12,High school,FEMALE,1,2,26287.5,Ballot a
2018,28,Keeping house,Never married,42,9,Less than high school,FEMALE,2,.i:  Inapplicable,7886.25,Ballot c
2018,29,Keeping house,Divorced,40,12,High school,FEMALE,4,3,38555.0,Ballot b
2018,30,Working part time,Never married,20,14,High school,MALE,4,.i:  Inapplicable,84120.0,Ballot c
2018,31,Retired,Married,74,12,High school,FEMALE,2,5,-100.0,Ballot b
2018,32,Retired,Married,89 or older,8,Less than high school,MALE,2,.i:  Inapplicable,22782.5,Ballot c
2018,33,Keeping house,Married,60,16,Bachelor's,FEMALE,2,3,-100.0,Ballot b
2018,34,Working full time,Divorced,56,16,Bachelor's,FEMALE,1,3,84120.0,Ballot a
2018,35,Working part time,Divorced,55,10,Less than high school,FEMALE,1,2,-100.0,Ballot b
2018,36,Working full time,Married,65,18,Graduate,MALE,2,.i:  Inapplicable,98140.0,Ballot c
